document_id,question,answer,question_length,answer_length,question_word_count,answer_word_count,question_has_question,answer_has_question,question_has_exclamation,answer_has_exclamation,question_avg_word_length,answer_avg_word_length,question_unique_word_ratio,answer_unique_word_ratio,question_has_digits,answer_has_digits
faq_1,how can i create an account,to create an account click on the sign up button on the top right corner of our website and follow the instructions to complete the registration process,27,152,6,27,False,False,False,False,3.6666666666666665,4.666666666666667,1.0,0.8148148148148148,False,False
faq_2,what payment methods do you accept,we accept major credit cards debit cards and paypal as payment methods for online orders,34,88,6,15,False,False,False,False,4.833333333333333,4.933333333333334,1.0,0.9333333333333333,False,False
faq_3,how can i track my order,you can track your order by logging into your account and navigating to the order history section there you will find the tracking information for your shipment,24,160,6,27,False,False,False,False,3.1666666666666665,4.962962962962963,1.0,0.8148148148148148,False,False
faq_4,what is your return policy,our return policy allows you to return products within 30 days of purchase for a full refund provided they are in their original condition and packaging please refer to our returns page for detailed instructions,26,211,5,35,False,False,False,False,4.4,5.057142857142857,1.0,0.8857142857142857,False,True
faq_5,can i cancel my order,you can cancel your order if it has not been shipped yet please contact our customer support team with your order details and we will assist you with the cancellation process,21,174,5,31,False,False,False,False,3.4,4.645161290322581,1.0,0.8709677419354839,False,False
faq_6,how long does shipping take,shipping times vary depending on the destination and the shipping method chosen standard shipping usually takes 3 5 business days while express shipping can take 1 2 business days,27,179,5,29,False,False,False,False,4.6,5.206896551724138,1.0,0.7931034482758621,False,True
faq_7,do you offer international shipping,yes we offer international shipping to select countries the availability and shipping costs will be calculated during the checkout process based on your location,35,161,5,24,False,False,False,False,6.2,5.75,1.0,0.9166666666666666,False,False
faq_8,what should i do if my package is lost or damaged,if your package is lost or damaged during transit please contact our customer support team immediately we will initiate an investigation and take the necessary steps to resolve the issue,49,186,11,30,False,False,False,False,3.5454545454545454,5.233333333333333,1.0,0.9666666666666667,False,False
faq_9,can i change my shipping address after placing an order,if you need to change your shipping address please contact our customer support team as soon as possible we will do our best to update the address if the order has not been shipped yet,55,184,10,35,False,False,False,False,4.6,4.285714285714286,1.0,0.8285714285714286,False,False
faq_10,how can i contact customer support,you can contact our customer support team by phone at phone number or by email at email address our team is available working hours to assist you with any inquiries or issues you may have,34,187,6,35,False,False,False,False,4.833333333333333,4.371428571428571,1.0,0.7428571428571429,False,False
faq_11,do you offer gift wrapping services,yes we offer gift wrapping services for an additional fee during the checkout process you can select the option to add gift wrapping to your order,35,146,6,26,False,False,False,False,5.0,4.653846153846154,1.0,0.8461538461538461,False,False
faq_12,what is your price matching policy,we have a price matching policy where we will match the price of an identical product found on a competitor s website please contact our customer support team with the details of the product and the competitor s offer,34,217,6,39,False,False,False,False,4.833333333333333,4.589743589743589,1.0,0.7435897435897436,False,False
faq_13,can i order by phone,unfortunately we do not accept orders over the phone please place your order through our website for a smooth and secure transaction,20,132,5,22,False,False,False,False,3.2,5.045454545454546,1.0,1.0,False,False
faq_14,are my personal and payment details secure,yes we take the security of your personal and payment details seriously we use industry standard encryption and follow strict security protocols to ensure your information is protected,42,184,7,28,False,False,False,False,5.142857142857143,5.607142857142857,1.0,0.8571428571428571,False,False
faq_15,what is your price adjustment policy,if a product you purchased goes on sale within 7 days of your purchase we offer a one time price adjustment please contact our customer support team with your order details to request the adjustment,36,198,6,35,False,False,False,False,5.166666666666667,4.685714285714286,1.0,0.9142857142857143,False,True
faq_16,do you have a loyalty program,yes we have a loyalty program where you can earn points for every purchase these points can be redeemed for discounts on future orders please visit our website to learn more and join the program,29,194,6,35,False,False,False,False,4.0,4.571428571428571,1.0,0.8857142857142857,False,False
faq_17,can i order without creating an account,yes you can place an order as a guest without creating an account however creating an account offers benefits such as order tracking and easier future purchases,39,160,7,27,False,False,False,False,4.714285714285714,4.962962962962963,1.0,0.7777777777777778,False,False
faq_18,do you offer bulk or wholesale discounts,yes we offer bulk or wholesale discounts for certain products please contact our customer support team or visit our wholesale page for more information and to discuss your specific requirements,40,193,7,30,False,False,False,False,4.857142857142857,5.466666666666667,1.0,0.8666666666666667,False,False
faq_19,can i change or cancel an item in my order,if you need to change or cancel an item in your order please contact our customer support team as soon as possible we will assist you with the necessary steps,42,158,10,30,False,False,False,False,3.3,4.3,1.0,0.9333333333333333,False,False
faq_20,how can i leave a product review,to leave a product review navigate to the product page on our website and click on the write a review button you can share your feedback and rating based on your experience with the product,32,189,7,35,False,False,False,False,3.7142857142857144,4.428571428571429,1.0,0.6857142857142857,False,False
faq_21,can i use multiple promo codes on a single order,usually only one promo code can be applied per order during the checkout process enter the promo code in the designated field to apply the discount to your order,48,161,10,29,False,False,False,False,3.9,4.586206896551724,1.0,0.7586206896551724,False,False
faq_22,what should i do if i receive the wrong item,if you receive the wrong item in your order please contact our customer support team immediately we will arrange for the correct item to be shipped to you and assist with returning the wrong item,44,195,10,35,False,False,False,False,3.5,4.6,0.9,0.8,False,False
faq_23,do you offer expedited shipping,yes we offer expedited shipping options for faster delivery during the checkout process you can select the desired expedited shipping method,31,140,5,21,False,False,False,False,5.4,5.714285714285714,1.0,0.8571428571428571,False,False
faq_24,can i order a product that is out of stock,if a product is currently out of stock you will usually see an option to sign up for product notifications this way you will be alerted when the product becomes available again,42,176,10,32,False,False,False,False,3.3,4.53125,1.0,0.875,False,False
faq_25,what is your email newsletter about,our email newsletter provides updates on new product releases exclusive offers and helpful tips related to our products you can subscribe to our newsletter on our website,35,170,6,27,False,False,False,False,5.0,5.333333333333333,1.0,0.7777777777777778,False,False
faq_26,can i return a product if i changed my mind,yes you can return a product if you changed your mind please ensure the product is in its original condition and packaging and refer to our return policy for instructions,43,170,10,30,False,False,False,False,3.4,4.7,0.9,0.8666666666666667,False,False
faq_27,do you offer live chat support,yes we offer live chat support on our website during our business hours look for the chat icon in the bottom right corner to initiate a chat with our customer support team,30,171,6,32,False,False,False,False,4.166666666666667,4.375,1.0,0.8125,False,False
faq_28,can i order a product as a gift,yes you can order a product as a gift and have it shipped directly to the recipient during the checkout process you can enter the recipient s shipping address,31,158,8,29,False,False,False,False,3.0,4.482758620689655,0.875,0.7931034482758621,False,False
