opportunity_id,product,account,deal_stage,engage_date,close_date,close_value,product_length,account_length,product_word_count,account_word_count,product_has_question,account_has_question,product_has_exclamation,account_has_exclamation,product_avg_word_length,account_avg_word_length,product_unique_word_ratio,account_unique_word_ratio,product_has_digits,account_has_digits,is_high_value_deal
1C1I7A6R,gtx plus basic,cancity,won,2016-10-20,2017-03-01,1054.0,14,7.0,3,1.0,False,False,False,False,4.0,7.0,1.0,1.0,False,False,False
Z063OYW0,gtxpro,isdom,won,2016-10-25,2017-03-11,4514.0,6,5.0,1,1.0,False,False,False,False,6.0,5.0,1.0,1.0,False,False,True
EC4QE1BX,mg special,cancity,won,2016-10-25,2017-03-07,50.0,10,7.0,2,1.0,False,False,False,False,4.5,7.0,1.0,1.0,False,False,False
MV1LWRNH,gtx basic,codehow,won,2016-10-25,2017-03-09,588.0,9,7.0,2,1.0,False,False,False,False,4.0,7.0,1.0,1.0,False,False,False
PE84CX4O,gtx basic,hatfan,won,2016-10-25,2017-03-02,517.0,9,6.0,2,1.0,False,False,False,False,4.0,6.0,1.0,1.0,False,False,False
ZNBS69V1,mg special,ron tech,won,2016-10-29,2017-03-01,49.0,10,8.0,2,2.0,False,False,False,False,4.5,3.5,1.0,1.0,False,False,False
9ME3374G,mg special,j texon,won,2016-10-30,2017-03-02,57.0,10,7.0,2,2.0,False,False,False,False,4.5,3.0,1.0,1.0,False,False,False
7GN8Q4LL,gtx basic,cheers,won,2016-11-01,2017-03-07,601.0,9,6.0,2,1.0,False,False,False,False,4.0,6.0,1.0,1.0,False,False,False
OLK9LKZB,gtx plus basic,zumgoity,won,2016-11-01,2017-03-03,1026.0,14,8.0,3,1.0,False,False,False,False,4.0,8.0,1.0,1.0,False,False,False
HAXMC4IX,mg advanced,,engaging,2016-11-03,,,11,,2,,False,False,False,False,5.0,,1.0,,False,False,False
NL3JZH1Z,mg special,bioholding,won,2016-11-04,2017-03-10,53.0,10,10.0,2,1.0,False,False,False,False,4.5,10.0,1.0,1.0,False,False,False
KWVA7VR1,gtxpro,genco pura olive oil company,lost,2016-11-04,2017-03-18,0.0,6,28.0,1,5.0,False,False,False,False,6.0,4.8,1.0,1.0,False,False,False
S8DX3XOU,gtx plus pro,sunnamplex,won,2016-11-04,2017-03-10,5169.0,12,10.0,3,1.0,False,False,False,False,3.3333333333333335,10.0,1.0,1.0,False,False,True
ENB2XD8G,gtx plus pro,sonron,won,2016-11-04,2017-03-06,4631.0,12,6.0,3,1.0,False,False,False,False,3.3333333333333335,6.0,1.0,1.0,False,False,True
09YE9QOV,mg advanced,finjob,won,2016-11-05,2017-03-11,3393.0,11,6.0,2,1.0,False,False,False,False,5.0,6.0,1.0,1.0,False,False,False
3F5MZNEH,mg special,sonron,lost,2016-11-05,2017-03-03,0.0,10,6.0,2,1.0,False,False,False,False,4.5,6.0,1.0,1.0,False,False,False
M6WEJXC0,mg advanced,scotfind,won,2016-11-05,2017-03-06,3284.0,11,8.0,2,1.0,False,False,False,False,5.0,8.0,1.0,1.0,False,False,False
6PTR7VBR,mg special,treequote,won,2016-11-06,2017-03-05,61.0,10,9.0,2,1.0,False,False,False,False,4.5,9.0,1.0,1.0,False,False,False
902REDPA,gtxpro,xx zobam,lost,2016-11-07,2017-03-09,0.0,6,8.0,1,2.0,False,False,False,False,6.0,3.5,1.0,1.0,False,False,False
