opportunity_id,product,account,deal_stage,close_date,close_value
1C1I7A6R,GTX Plus Basic,Cancity,Won,2017-03-01,1054.0
Z063OYW0,GTXPro,Isdom,Won,2017-03-11,4514.0
EC4QE1BX,MG Special,Cancity,Won,2017-03-07,50.0
MV1LWRNH,GTX Basic,Codehow,Won,2017-03-09,588.0
PE84CX4O,GTX Basic,Hatfan,Won,2017-03-02,517.0
ZNBS69V1,MG Special,Ron-tech,Won,2017-03-01,49.0
9ME3374G,MG Special,J-Texon,Won,2017-03-02,57.0
7GN8Q4LL,GTX Basic,Cheers,Won,2017-03-07,601.0
OLK9LKZB,GTX Plus Basic,Zumgoity,Won,2017-03-03,1026.0
HAXMC4IX,MG Advanced,,Engaging,,
NL3JZH1Z,MG Special,Bioholding,Won,2017-03-10,53.0
KWVA7VR1,GTXPro,Genco Pura Olive Oil Company,Lost,2017-03-18,0.0
S8DX3XOU,GTX Plus Pro,Sunnamplex,Won,2017-03-10,5169.0
ENB2XD8G,GTX Plus Pro,Sonron,Won,2017-03-06,4631.0
09YE9QOV,MG Advanced,Finjob,Won,2017-03-11,3393.0
3F5MZNEH,MG Special,Sonron,Lost,2017-03-03,0.0
M6WEJXC0,MG Advanced,Scotfind,Won,2017-03-06,3284.0
6PTR7VBR,MG Special,Treequote,Won,2017-03-05,61.0
902REDPA,GTXPro,Xx-zobam,Lost,2017-03-09,0.0
5J9CMGDV,MG Special,Rantouch,Won,2017-03-08,46.0
JJXRR8R6,GTX Plus Pro,Fasehatice,Lost,2017-03-17,0.0
WF4HA5NW,MG Special,Ron-tech,Won,2017-03-18,50.0
C5K2JP1H,GTX Plus Basic,Vehement Capital Partners,Won,2017-03-11,1014.0
ADRB8OMB,GTX Basic,Warephase,Won,2017-03-26,561.0
SBCR987L,GTX Basic,Zoomit,Won,2017-03-23,590.0
UP409DSB,MG Advanced,Ganjaflex,Engaging,,
JSD4APT2,MG Special,Bioholding,Won,2017-03-12,61.0
AO9Z2D17,GTX Plus Pro,Xx-zobam,Lost,2017-03-11,0.0
5M58DTJK,MG Special,Cheers,Won,2017-03-05,58.0
KNY1OSAB,GTXPro,Labdrill,Won,2017-03-14,4899.0
EAZDUUM9,MG Advanced,Zotware,Lost,2017-03-01,0.0
2STUSOFE,MG Special,dambase,Won,2017-03-03,67.0
JYKM0B00,GTXPro,Xx-holding,Won,2017-03-06,4338.0
KU28360J,GTX Basic,Fasehatice,Won,2017-03-19,578.0
N4SD17JR,GTX Basic,Acme Corporation,Won,2017-03-01,556.0
E67P9Y3Q,GTX Basic,Green-Plus,Won,2017-03-03,635.0
AT3MMVIS,MG Advanced,The New York Inquirer,Won,2017-03-07,3045.0
REJ11LRY,GTX Plus Basic,Mathtouch,Won,2017-03-14,1233.0
ERV0CAZ7,MG Special,Zumgoity,Won,2017-03-09,60.0
8SOQADK7,MG Special,Gogozoom,Lost,2017-03-30,0.0
